TIMESTAMP,AtmPressure,freq,thermRes,Temperature,Pressure
2020/10/02 06:00:00 	,944.3,2437.83,2903.54,25.68880314702477,-19.296654319279718
2020/10/02 06:30:00 	,944.6,2437.71,2903.306,25.690648745847568,-19.206134931116623
2020/10/02 07:00:00 	,944.8,2437.83,2903.633,25.688069686647623,-19.29665931927972
2020/10/02 07:30:00 	,945.1,2437.83,2903.64,25.688014481030848,-19.29666231927972
2020/10/02 08:00:00 	,945.3,2437.71,2902.794,25.694687567677022,-19.206141931116623
2020/10/02 08:30:00 	,945.6,2437.83,2902.59,25.696297010856256,-19.296667319279717
2020/10/02 09:00:00 	,945.6,2437.71,2902.412,25.697701433739553,-19.206144931116622
2020/10/02 09:30:00 	,945.7,2437.83,2902.162,25.69967410275416,-19.296668319279718
2020/10/02 10:00:00 	,945.8,2437.71,2902.093,25.700218593341333,-19.206146931116624
2020/10/02 10:30:00 	,945.7,2437.71,2902.104,25.700131789510294,-19.206145931116623
2020/10/02 11:00:00 	,945.8,2437.71,2901.99,25.70103141095757,-19.206146931116624
2020/10/02 11:30:00 	,945.7,2437.71,2901.926,25.701536479163053,-19.206145931116623
2020/10/02 12:00:00 	,945.4,2437.71,2901.905,25.70170220742085,-19.206142931116624
2020/10/02 12:30:00 	,945.0,2437.71,2901.552,25.704488224147724,-19.206138931116623
2020/10/02 13:00:00 	,944.7,2437.71,2901.626,25.703904154800057,-19.206135931116624
2020/10/02 13:30:00 	,944.3,2437.83,2901.563,25.704401401959444,-19.296654319279718
2020/10/02 14:00:00 	,944.0,2437.83,2901.791,25.702601898842317,-19.296651319279718
2020/10/02 14:30:00 	,943.8,2437.83,2901.804,25.70249930042695,-19.296649319279716
2020/10/02 15:00:00 	,943.5,2437.83,2901.886,25.701852153207142,-19.296646319279716
2020/10/02 15:30:00 	,943.1,2437.83,2901.648,25.70373051581953,-19.29664231927972
2020/10/02 16:00:00 	,943.0,2437.949,2901.815,25.70241248679048,-19.386413931799314
2020/10/02 16:30:00 	,943.1,2437.949,2901.865,25.702017884056033,-19.386414931799315
