502417.394,7518158.132,593.696
502418.909,7518153.367,593.405
502420.424,7518148.602,593.114
502421.939,7518143.838,592.823
502423.455,7518139.073,592.532
502424.970,7518134.308,592.263
502426.485,7518129.543,592.114
502428.000,7518124.778,591.964
502429.515,7518120.013,591.815
502431.031,7518115.248,591.665
502432.546,7518110.483,591.516
502434.061,7518105.718,591.366
502435.576,7518100.954,591.217
502437.091,7518096.189,591.067
502438.607,7518091.424,590.918
502440.122,7518086.659,590.760
502441.637,7518081.894,590.590
502443.152,7518077.129,590.439
502444.667,7518072.364,590.309
502446.182,7518067.599,590.179
502447.698,7518062.834,590.049
502449.213,7518058.070,589.991
502450.728,7518053.305,589.985
502452.243,7518048.540,589.982
502453.758,7518043.775,589.982
502455.274,7518039.010,589.982
502456.789,7518034.245,589.980
502458.304,7518029.480,589.977
502459.819,7518024.715,589.974
502461.334,7518019.950,589.970
502462.850,7518015.186,589.864
502464.365,7518010.421,589.681
502465.880,7518005.656,589.499
502467.395,7518000.891,589.317
502468.910,7517996.126,589.134
502470.426,7517991.361,588.952
502471.941,7517986.596,588.770
502473.456,7517981.831,588.588
502474.971,7517977.066,588.405
502476.486,7517972.302,588.223
502478.002,7517967.537,588.041
502479.517,7517962.772,587.859
502481.032,7517958.007,587.676
502482.547,7517953.242,587.494
502484.062,7517948.477,587.312
502485.578,7517943.712,587.129
502487.093,7517938.947,586.947
502488.608,7517934.182,586.765
502490.123,7517929.417,586.583
502491.638,7517924.653,586.400
502493.154,7517919.888,586.224
502494.669,7517915.123,586.076
502496.184,7517910.358,585.928
502497.699,7517905.593,585.781
502499.214,7517900.828,585.633
502500.730,7517896.063,585.484
502502.245,7517891.298,585.335
502503.760,7517886.533,585.189
502505.275,7517881.769,585.048
502506.790,7517877.004,584.997
502508.306,7517872.239,584.988
502509.821,7517867.474,584.991
502511.336,7517862.709,584.988
502512.851,7517857.944,584.989
502514.366,7517853.179,584.991
502515.882,7517848.414,584.992
502517.397,7517843.649,584.994
502518.912,7517838.885,584.998
502520.427,7517834.120,584.993
502521.942,7517829.355,584.989
502523.458,7517824.590,584.994
502524.973,7517819.825,585.105
502526.488,7517815.060,585.470
502528.003,7517810.295,585.834
502529.518,7517805.530,586.197
502531.034,7517800.765,586.541
502532.549,7517796.001,586.886
502534.064,7517791.236,587.230
502535.579,7517786.471,587.575
502537.094,7517781.706,587.887
502538.609,7517776.941,588.175
