paddock,Section,CPTu,id,Datalogger,Channel,Serial_Number,depth,lat,lon,status
Y1/Y2,Section-17,CPT-18-35,VW-YB-01,3023,1,1833527,14,-22.44754439,15.03396627,1
Y1/Y2,Section-17,CPT18-22,VW-Y2-02,9926,1,1833524,35.3,-22.44589797,15.03784652,3
Y1/Y2,Section-23,,YA-1,,,,,-22.45288333,15.03926111,4
Y1/Y2,Section-23,,YA-2,,,,,-22.45328611,15.03950556,4
Y3,Section-9,CPT17-18,VW-38,2137,5,53964,4,-22.44365919,15.03100977,2
Y3,Section-9,CPT17-18,VW-39,2137,4,54013,9,-22.44365919,15.03100977,2
Y3,Section-9,CPT17-18,VW-40,2137,3,53971,5.5,-22.44358205,15.03109213,2
Y3,Section-9,CPT17-18,VW-41,2137,2,53955,8,-22.44358205,15.03109213,2
Y3,Section-9,CPT17-18,VW-42,2137,1,53945,9.5,-22.44358205,15.03109213,2
Y3,Section-9,?,Y3-1,10262,1,60438,8,-22.44345235,15.03101249,1
Y3,Section-9,?,Y3-2,10262,2,60439,16,-22.44345235,15.03101249,1
Y3,Section-9,?,Y3-3,10262,3,60431,1.4,-22.44345235,15.03101249,1
Y3,Section-9,?,Y3-4,10262,4,60432,2,-22.44345235,15.03101249,1
Z1,Section-14,CPT18-18,VW-ZB-02,16601,1,1833533,15,-22.44307078,15.03657342,1
Z1,Section-15,CPT-18-19,VW-ZC-01,16725,1,1833537,8,-22.44059158,15.03802225,1
Z1,Section-16,CPT18-33B,VW-ZD-02,16301,1,1833535,8.6,-22.43981707,15.04141661,2
Z1,Section-16,CPT18-20B,VW-ZD-01,16546,1,1833538,14,-22.44019722,15.04183611,2
Z1,Section-22,,Z1-1,,,,,-22.44608056,15.042775,4
Z1,Section-22,,Z1-2,,,,,-22.44616389,15.04338056,4
E1/E2,Section-22,?,E2-3,21024,1,64911,2,-22.44616389,15.04338056,1
E1/E2,Section-19,?,E2-2,21008,1,64912,1,-22.44063611,15.04589722,2
E1/E2,Section-19,?,E2-1,20696,1,64913,2,-22.44065556,15.04569444,2
E1/E2,?,?,E2-4,20764,1,64910,2,-22.43725278,15.04717778,1
E1/E2,Section-21,,E1-3,,,,,-22.43827222,15.04101667,4
E1/E2,Section-21,,E1-4,,,,,-22.43849722,15.04136944,4
E1/E2,Section-19,,E2-5,,,,,-22.43982222,15.04538333,4
E1/E2,Section-19,,E2-6,,,,,-22.43976389,15.04520556,4
E1/E2,Section-20,,E2-7,,,,,-22.43546111,15.04638889,4
E1/E2,Section-20,,E2-8,,,,,-22.43661389,15.04576944,4
Z1,Section-14,,Z1-3,,,,,-22.443345,15.037024,4
Z1,Section-15,,Z1-4,,,,,-22.440799,15.038456,4
