Paddock,Channel,Section,CPTu,PiezometerID,SNumber,Logger,certificate_date,G,Tk,CF,A,B,C,R0,Tm,S0,IB_ReadingB,IB_ Temp_C,IB_Barometer_mbar,Comentarios
Silt Trap,2,3,CPT15-06,VW 15,53963,1853,12/23/2015,0.18695,,,-6.99E-07,-0.179707,1100.942158,5986.9,22,1020,,,,
Silt Trap,1,3,CPT 5,VW 10,54002,2115,12/23/2015,0.15156,,,-4.20E-07,-0.1472673,913.4325761,6096.5,22,978,,,,
Silt Trap,1,,,VW 10,64916,2115,8/23/2019,,0.19424,0.12431,-1.75E-07,-0.19177,1714.957724,8871,18.5,1015.6,8881.8,32,950.7,New piezometer
Silt Trap,4,3,CPT15-06,VW 13,54004,1853,12/23/2015,0.14732,,,-8.42E-07,-0.1389079,865.7309911,6013.2,22,978,,,,
Silt Trap,2,3,CPT 5,VW 11,54010,2115,12/23/2015,0.14511,,,-3.85E-07,-0.1413166,855.1188737,5954.4,22,978,,,,
Silt Trap,2,,,VW 11,64917,2115,8/23/2019,,0.19374,0.17557,-1.85E-07,-0.1912,1673.712583,8681,18.5,1015.6,8707.2,32.1,950.7,New piezometer
Silt Trap,1,3,CPT18-05,VW-ST-01,1833513,16329,9/20/2018,-0.2711,-0.02523,,-6.01E-07,-0.263,2311.731805,8620,24.7,993.9,8629.7,18.3,,
Silt Trap,1,3,CPT18-31,VW-ST-08,1833530,3031,9/20/2018,-0.267,-0.07738,,-1.24E-06,-0.2494,2333.135879,8955,27.9,1003.2,8969,18,,
Silt Trap,1,3,CPT18-36,VW-ST-06,1833532,16761,9/20/2018,-0.2664,-0.1108,,-1.26E-06,-0.2508,2107.434293,8075,23.6,1003.2,8097.2,18,,
Silt Trap,1,3,CPT18-06,VW-ST-02,1833536,16567,9/20/2018,-0.239,-0.0008285,,-1.01E-06,-0.2248,2139.046996,9140,23.5,1003.2,9161.5,17,,
Silt Trap,3,4,CPT 7,VW 18,53951,2087,12/23/2015,0.15362,,,-4.84E-07,-0.1486754,922.9214864,6087,24,1013,,,,
Silt Trap,1,4,CPT 8,VW 1,53959,2087,12/23/2015,0.14991,,,2.41E-07,-0.1523303,906.8935082,6010.7,24,1013,,,,
Silt Trap,2,4,CPT 8,VW 19,54003,2087,12/23/2015,0.15146,,,-2.24E-07,-0.1492301,899.2832146,5972.6,22,978,,,,
Silt Trap,4,4,CPT 7,VW17,54012,2087,12/23/2015,0.14266,,,-1.02E-06,-0.1323537,843.4030679,6085.6,22,978,,,,
Silt Trap,4,5-6,"CPT15-10
CPT9-10
",VW 23,53980,1849,12/23/2015,0.168668,,,2.97E-07,-0.1717832,1038.066969,6107.4,22,1020,,,,
Silt Trap,3,5-6,"CPT15-10
CPT9-10
",VW 24,53981,1849,12/23/2015,0.15601,,,4.77E-07,-0.1607645,939.8597204,5951.2,22,1020,,,,
Silt Trap,2,5-6,"CPT15-10
CPT9-10
",VW 21,54008,1849,12/23/2015,0.14975,,,-2.86E-07,-0.146897,888.661019,5979.9,22,978,,,,
